ID: 1 | Wiek: 46 | Dzieci: 3 | Trasa: 2 | Cena: 120
ID: 1 | Wiek: 57 | Grupa: 1 | Trasa Krótka | Koszt: 30 PLN
ID: 1 | Wiek: 87 | Grupa: 3 | Trasa Krótka | Koszt: 90 PLN
ID: 1 | Wiek: 22 | Grupa: 2 | Trasa Długa | Koszt: 100 PLN
ID: 1 | Wiek: 12 | Grupa: 1 | Trasa Długa | Koszt: 50 PLN
ID: 1 | Wiek: 60 | Grupa: 3 | Trasa Krótka | Koszt: 90 PLN
ID: 1 | Wiek: 61 | Grupa: 3 | Trasa Krótka | Koszt: 90 PLN
ID: 1 | Wiek: 30 | Grupa: 3 | Trasa Krótka | Koszt: 90 PLN
ID: 1 | Wiek: 50 | Grupa: 3 | Trasa Krótka | Koszt: 90 PLN
ID: 1 | Wiek: 73 | Grupa: 3 | Trasa Długa | Koszt: 150 PLN
ID: 1 | Wiek: 39 | Grupa: 1 | Trasa Długa | Koszt: 50 PLN
ID: 1 | Wiek: 30 | Grupa: 3 | Trasa Krótka | Koszt: 90 PLN
ID: 1 | Wiek: 56 | Grupa: 2 | Trasa Krótka | Koszt: 60 PLN
ID: 1 | Wiek: 19 | Grupa: 4 | Trasa Krótka | Koszt: 120 PLN
ID: 1 | Wiek: 47 | Grupa: 1 | Trasa Krótka | Koszt: 30 PLN
ID: 1 | Wiek: 88 | Grupa: 3 | Trasa Krótka | Koszt: 90 PLN
ID: 1 | Wiek: 21 | Grupa: 2 | Trasa Długa | Koszt: 100 PLN
ID: 1 | Wiek: 37 | Grupa: 4 | Trasa Krótka | Koszt: 120 PLN
ID: 1 | Wiek: 44 | Grupa: 3 | Trasa Długa | Koszt: 150 PLN
ID: 1 | Wiek: 80 | Grupa: 4 | Trasa Krótka | Koszt: 120 PLN
ID: 1 | Wiek: 63 | Grupa: 3 | Trasa Długa | Koszt: 150 PLN
ID: 1 | Wiek: 62 | Grupa: 3 | Trasa Krótka | Koszt: 90 PLN
ID: 1 | Wiek: 34 | Grupa: 4 | Trasa Krótka | Koszt: 120 PLN
ID: 1 | Wiek: 86 | Grupa: 2 | Trasa Krótka | Koszt: 60 PLN
ID: 1 | Wiek: 78 | Grupa: 1 | Trasa Długa | Koszt: 50 PLN
ID: 1 | Wiek: 65 | Grupa: 2 | Trasa Krótka | Koszt: 60 PLN
ID: 1 | Wiek: 37 | Grupa: 3 | Trasa Długa | Koszt: 150 PLN
ID: 1 | Wiek: 58 | Grupa: 4 | Trasa Długa | Koszt: 200 PLN
ID: 1 | Wiek: 69 | Grupa: 2 | Trasa Krótka | Koszt: 60 PLN
ID: 1 | Wiek: 53 | Grupa: 1 | Trasa Długa | Koszt: 50 PLN
ID: 1 | Wiek: 11 | Grupa: 1 | Trasa Długa | Koszt: 50 PLN
ID: 1 | Wiek: 78 | Grupa: 1 | Trasa Długa | Koszt: 50 PLN
ID: 1 | Wiek: 57 | Grupa: 2 | Trasa Krótka | Koszt: 60 PLN
ID: 1 | Wiek: 84 | Grupa: 2 | Trasa Krótka | Koszt: 60 PLN
ID: 1 | Wiek: 41 | Grupa: 3 | Trasa Długa | Koszt: 150 PLN
ID: 1 | Wiek: 30 | Grupa: 2 | Trasa Długa | Koszt: 100 PLN
ID: 1 | Wiek: 21 | Grupa: 1 | Trasa Krótka | Koszt: 30 PLN
ID: 1 | Wiek: 23 | Grupa: 4 | Trasa Długa | Koszt: 200 PLN
ID: 1 | Wiek: 18 | Grupa: 2 | Trasa Krótka | Koszt: 60 PLN
ID: 1 | Wiek: 83 | Grupa: 4 | Trasa Długa | Koszt: 200 PLN
ID: 1 | Wiek: 13 | Grupa: 1 | Trasa Długa | Koszt: 50 PLN
ID: 1 | Wiek: 26 | Grupa: 4 | Trasa Długa | Koszt: 200 PLN
ID: 1 | Wiek: 15 | Grupa: 1 | Trasa Krótka | Koszt: 30 PLN
ID: 1 | Wiek: 43 | Grupa: 3 | Trasa Krótka | Koszt: 90 PLN
ID: 1 | Wiek: 46 | Grupa: 3 | Trasa Krótka | Koszt: 90 PLN
